Date,Open,High,Low,Close,Adj Close,Volume
2019-07-02,26695.000000,26805.000000,26621.000000,26797.000000,26797.000000,202630
2019-07-03,null,null,null,null,null,null
2019-07-05,26973.000000,27009.000000,26728.000000,26885.000000,26885.000000,119169
2019-07-07,null,null,null,null,null,null
2019-07-08,26890.000000,26924.000000,26742.000000,26793.000000,26793.000000,199744
2019-07-09,26794.000000,26807.000000,26657.000000,26779.000000,26779.000000,147096
2019-07-10,26782.000000,26983.000000,26688.000000,26860.000000,26860.000000,150793
2019-07-11,26859.000000,27092.000000,26851.000000,27077.000000,27077.000000,209429
2019-07-12,27072.000000,27330.000000,27070.000000,27309.000000,27309.000000,184871
2019-07-14,null,null,null,null,null,null
2019-07-15,27303.000000,27397.000000,27263.000000,27342.000000,27342.000000,146908
2019-07-16,27346.000000,27396.000000,27280.000000,27328.000000,27328.000000,129820
2019-07-17,27318.000000,27377.000000,27184.000000,27231.000000,27231.000000,134696
2019-07-18,27164.000000,27304.000000,27057.000000,27201.000000,27201.000000,135792
2019-07-19,27305.000000,27342.000000,27071.000000,27130.000000,27130.000000,190637
2019-07-21,null,null,null,null,null,null
2019-07-22,27106.000000,27216.000000,27078.000000,27176.000000,27176.000000,194392
2019-07-23,27174.000000,27358.000000,27159.000000,27324.000000,27324.000000,144409
2019-07-24,27306.000000,27346.000000,27175.000000,27237.000000,27237.000000,137719
2019-07-25,27250.000000,27349.000000,27040.000000,27096.000000,27096.000000,155965
2019-07-26,27084.000000,27193.000000,27077.000000,27149.000000,27149.000000,196815
2019-07-28,null,null,null,null,null,null
2019-07-29,27143.000000,27255.000000,27112.000000,27198.000000,27198.000000,120612
2019-07-30,27218.000000,27252.000000,27042.000000,27164.000000,27164.000000,111350
2019-07-31,27208.000000,27258.000000,26693.000000,26855.000000,26855.000000,148117
2019-08-01,26750.000000,27147.000000,26512.000000,26543.000000,26543.000000,239800
2019-08-02,26517.000000,26663.000000,26213.000000,26449.000000,26449.000000,354565
2019-08-04,null,null,null,null,null,null
2019-08-05,26431.000000,26460.000000,25475.000000,25550.000000,25550.000000,359330
2019-08-06,25458.000000,25998.000000,25032.000000,25924.000000,25924.000000,399217
2019-08-07,25897.000000,26035.000000,25392.000000,25940.000000,25940.000000,356709
2019-08-08,25935.000000,26373.000000,25846.000000,26365.000000,26365.000000,352239
2019-08-09,26286.000000,26394.000000,26074.000000,26268.000000,26268.000000,228936
2019-08-11,null,null,null,null,null,null
2019-08-12,26263.000000,26353.000000,25803.000000,25867.000000,25867.000000,260221
2019-08-13,25872.000000,26408.000000,25750.000000,26314.000000,26314.000000,215254
2019-08-14,26302.000000,26352.000000,25410.000000,25455.000000,25455.000000,291674
2019-08-15,25373.000000,25707.000000,25226.000000,25575.000000,25575.000000,340944
2019-08-16,25585.000000,25929.000000,25576.000000,25907.000000,25907.000000,326623
2019-08-18,null,null,null,null,null,null
2019-08-19,25912.000000,26237.000000,25912.000000,26118.000000,26118.000000,196934
2019-08-20,26102.000000,26198.000000,25885.000000,25931.000000,25931.000000,152096
2019-08-21,25883.000000,26265.000000,25872.000000,26226.000000,26226.000000,157400
2019-08-22,26244.000000,26375.000000,26086.000000,26225.000000,26225.000000,139879
2019-08-23,26225.000000,26347.000000,25492.000000,25670.000000,25670.000000,175622
2019-08-25,null,null,null,null,null,null
2019-08-26,25462.000000,25986.000000,25266.000000,25943.000000,25943.000000,339653
2019-08-27,25924.000000,26069.000000,25711.000000,25744.000000,25744.000000,279427
2019-08-28,25756.000000,26044.000000,25620.000000,26037.000000,26037.000000,236943
2019-08-29,25992.000000,26407.000000,25930.000000,26378.000000,26378.000000,210924
2019-08-30,26366.000000,26559.000000,26299.000000,26406.000000,26406.000000,187180
2019-09-01,null,null,null,null,null,null
2019-09-03,26243.000000,26372.000000,25977.000000,26122.000000,26122.000000,192172
2019-09-04,26102.000000,26388.000000,26083.000000,26372.000000,26372.000000,286417
2019-09-05,26372.000000,26844.000000,26355.000000,26701.000000,26701.000000,176054
2019-09-06,26688.000000,26869.000000,26686.000000,26808.000000,26808.000000,222265
2019-09-08,null,null,null,null,null,null
2019-09-09,26807.000000,26913.000000,26771.000000,26840.000000,26840.000000,143551
2019-09-10,26853.000000,26919.000000,26717.000000,26894.000000,26894.000000,136590
2019-09-11,26901.000000,27169.000000,26849.000000,27144.000000,27144.000000,171654
2019-09-12,27158.000000,27320.000000,27110.000000,27198.000000,27198.000000,158602
2019-09-13,27194.000000,27326.000000,27193.000000,27218.000000,27218.000000,204364
2019-09-15,null,null,null,null,null,null
2019-09-16,27121.000000,27180.000000,27014.000000,27084.000000,27084.000000,118924
2019-09-17,27114.000000,27142.000000,26988.000000,27114.000000,27114.000000,93737
2019-09-18,27124.000000,27185.000000,26909.000000,27148.000000,27148.000000,59077
2019-09-19,27169.000000,27274.000000,27001.000000,27086.000000,27086.000000,50736
2019-09-20,27091.000000,27167.000000,27076.000000,27140.900391,27140.900391,40322
